name,description,gx_media_links,WKT,longitude,latitude
"Militär","https://www.facebook.com/groups/630193237595288/permalink/763877954226815/",,"POINT Z (8.571673 47.855174 0)",8.571673,47.855174
"Zoo","https://www.facebook.com/groups/630193237595288/permalink/768955767052367/",,"POINT Z (9.0251127 48.5079597 0)",9.0251127,48.5079597
"Kinderheim","https://www.facebook.com/groups/630193237595288/permalink/769778816970062/",,"POINT Z (7.87147183288804 49.3500081137212 0)",7.87147183288804,49.3500081137212
"Schacht","https://www.facebook.com/groups/630193237595288/permalink/770438906904053/",,"POINT Z (7.135814 51.667301 0)",7.135814,51.667301
"Bahn","https://www.facebook.com/groups/630193237595288/permalink/770338923580718/",,"POINT Z (6.718492 50.891734 0)",6.718492,50.891734
"Ferienlager","https://www.facebook.com/groups/630193237595288/permalink/705602800054331/",,"POINT Z (11.083003 51.686234 0)",11.083003,51.686234
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/729840010963943/",,"POINT Z (7.5601156 51.4562251 0)",7.5601156,51.4562251
"Ferienlager",,,"POINT Z (13.730148 54.324728 0)",13.730148,54.324728
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/691649294783015/",,"POINT Z (7.39846 50.20461 0)",7.39846,50.20461
"Ferienheim","https://www.facebook.com/groups/630193237595288/permalink/697954807485797/",,"POINT Z (10.804731 50.615575 0)",10.804731,50.615575
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/696255604322384/",,"POINT Z (10.6787083 45.8410184 0)",10.6787083,45.8410184
"Landgasthof","https://www.facebook.com/groups/630193237595288/permalink/688918188389459/",,"POINT Z (8.247423 51.026072 0)",8.247423,51.026072
"Jugendherberge",,,"POINT Z (7.1999019 51.2631032 0)",7.1999019,51.2631032
"Hotel",,,"POINT Z (7.2820136 50.3757092 0)",7.2820136,50.3757092
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/694739521140659/",,"POINT Z (6.831875 49.733805 0)",6.831875,49.733805
"Ferien Anlage ","https://www.facebook.com/groups/630193237595288/permalink/756299361651341",,"POINT Z (9.8386863 47.5959674 0)",9.8386863,47.5959674
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/691497661464845/",,"POINT Z (8.240698 48.147545 0)",8.240698,48.147545
"Hotel",,,"POINT Z (11.87156 49.45225 0)",11.87156,49.45225
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/741113539836590/",,"POINT Z (7.61944444444445 50.2822222222222 0)",7.61944444444445,50.2822222222222
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/696103404337604/",,"POINT Z (13.0822222222222 48.8758333333333 0)",13.0822222222222,48.8758333333333
"Hotel",,,"POINT Z (7.202094 53.175669 0)",7.202094,53.175669
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/693565704591374/",,"POINT Z (9.889759 53.903026 0)",9.889759,53.903026
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/704834450131166/",,"POINT Z (13.590653 50.732546 0)",13.590653,50.732546
"Jugendherberge","https://www.facebook.com/groups/630193237595288/permalink/694588081155803/",,"POINT Z (10.01404 50.56853 0)",10.01404,50.56853
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/694575961157015/",,"POINT Z (9.08468 50.37559 0)",9.08468,50.37559
"Camping","https://www.facebook.com/groups/630193237595288/permalink/696815767599701/",,"POINT Z (11.947551 47.7120514 0)",11.947551,47.7120514
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/701824390432172/",,"POINT Z (13.13595 47.11421 0)",13.13595,47.11421
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/701841800430431/",,"POINT Z (10.788514 51.590115 0)",10.788514,51.590115
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/703647573583187/",,"POINT Z (10.3379444444444 51.8483055555556 0)",10.3379444444444,51.8483055555556
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/705552600059351/",,"POINT Z (13.8261875 50.7839375 0)",13.8261875,50.7839375
"Pension","https://www.facebook.com/groups/630193237595288/permalink/704841023463842/",,"POINT Z (13.7115625 50.7968125 0)",13.7115625,50.7968125
"Hotel",,,"POINT Z (7.0626166 51.3971406 0)",7.0626166,51.3971406
"Gasthaus mit Pension","https://www.facebook.com/groups/630193237595288/permalink/704837070130904/",,"POINT Z (13.6975625 50.7331875 0)",13.6975625,50.7331875
"FDGB Heim","https://www.facebook.com/groups/630193237595288/permalink/704828190131792/",,"POINT Z (13.5078333333333 50.7706388888889 0)",13.5078333333333,50.7706388888889
"Ostpreußen hôtel ","https://www.facebook.com/groups/630193237595288/permalink/652962361985042/",,"POINT Z (13.379519 52.892864 0)",13.379519,52.892864
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/681070439174234/",,"POINT Z (8.5258841 50.907324 0)",8.5258841,50.907324
"Hotel - LEGAL LP","Nummer des Besitzers an der Türe,gegen eine Spende kann man es anschauen.",,"POINT Z (13.4419328 50.7168196 0)",13.4419328,50.7168196
"Ferienheim","https://www.facebook.com/groups/630193237595288/permalink/705550843392860/",,"POINT Z (13.8233125 50.7864375 0)",13.8233125,50.7864375
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/737639500183994/",,"POINT Z (10.3336875 51.8518125 0)",10.3336875,51.8518125
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/679742229307055/",,"POINT Z (10.3329618 51.8589356 0)",10.3329618,51.8589356
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/686347421979869/",,"POINT Z (8.213501 48.746806 0)",8.213501,48.746806
"Mühle","https://www.facebook.com/groups/630193237595288/permalink/700219510592660/",,"POINT Z (7.9754375 50.1193125 0)",7.9754375,50.1193125
"Pension","https://www.facebook.com/groups/630193237595288/permalink/710517159562895/",,"POINT Z (11.023155 51.863144 0)",11.023155,51.863144
"Pension","https://www.facebook.com/groups/630193237595288/permalink/710455246235753/",,"POINT Z (11.3564099 46.4903884 0)",11.3564099,46.4903884
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/681850822429529/",,"POINT Z (12.908122 47.605957 0)",12.908122,47.605957
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/660163914598220/",,"POINT Z (8.035784 48.644635 0)",8.035784,48.644635
"Hotel",,,"POINT Z (2.7151268 41.6338148 0)",2.7151268,41.6338148
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/666724460608832/",,"POINT Z (7.101075 51.383988 0)",7.101075,51.383988
"Hotel","https://www.facebook.com/photo.php?fbid=3521830791181333&set=pcb.657335104881101&type=3&theater&ifg=1",,"POINT Z (105.646133 21.456225 0)",105.646133,21.456225
"Kurhaus","https://www.facebook.com/groups/630193237595288/permalink/675849133029698/",,"POINT Z (11.04832 51.889326 0)",11.04832,51.889326
"Ferienheim","https://www.facebook.com/groups/630193237595288/permalink/670432403571371/",,"POINT Z (13.7617119 52.161318 0)",13.7617119,52.161318
